date,open,close,high,low,volume,amount
2023-04-26,3950.255,3959.232,3975.656,3934.663,16270200600,0
2023-04-27,3948.031,3988.419,3999.13,3942.815,15382819500,0
2023-04-28,3993.256,4029.086,4030.447,3993.256,17950848800,0
2023-05-04,4013.471,4030.247,4035.783,4001.126,22758284600,0
2023-05-05,4031.095,4016.877,4047.602,3998.392,20662692400,0
2023-05-08,4028.106,4062.662,4070.772,4018.961,25558308500,0
2023-05-09,4065.439,4027.875,4092.85,4026.389,27930604800,0
2023-05-10,4017.936,3996.87,4019.059,3984.629,20755270900,0
2023-05-11,4005.782,3990.664,4018.058,3988.482,14480461900,0
2023-05-12,3987.769,3937.762,3999.383,3937.527,14442172800,0
2023-05-15,3938.83,3998.887,3998.887,3923.032,17625736200,0
2023-05-16,4002.524,3978.205,4005.015,3966.992,13683327100,0
2023-05-17,3971.702,3960.165,3982.604,3945.714,11844818500,0
2023-05-18,3965.516,3956.07,3982.718,3939.553,13653394700,0
2023-05-19,3946.222,3944.54,3967.282,3928.316,12021247900,0
2023-05-22,3941.002,3969.328,3985.403,3935.802,10911660500,0
2023-05-23,3968.235,3913.188,3971.939,3913.188,11868507700,0
2023-05-24,3903.782,3859.094,3903.782,3859.094,13725826500,0
2023-05-25,3851.405,3850.5,3861.382,3817.837,12415077000,0
2023-05-26,3848.417,3850.951,3859.629,3815.57,10032643900,0
2023-05-29,3862.084,3833.942,3866.724,3819.182,13185996700,0
2023-05-30,3827.792,3837.753,3844.005,3789.274,13761962900,0
2023-05-31,3827.163,3798.543,3827.163,3781.403,12638736800,0
2023-06-01,3788.59,3806.868,3832.205,3786.734,13456188100,0
2023-06-02,3821.62,3861.834,3865.284,3821.62,12501511000,0
2023-06-05,3860.556,3844.249,3860.556,3832.458,11616398900,0
2023-06-06,3840.459,3808.163,3867.845,3802.845,12578125800,0
2023-06-07,3815.482,3789.342,3823.112,3780.102,9886243200,0
2023-06-08,3791.083,3820.187,3834.389,3777.775,11870093400,0
2023-06-09,3822.409,3836.703,3836.703,3811.219,13431986300,0
2023-06-12,3827.325,3844.432,3859.716,3813.858,12675854300,0
2023-06-13,3838.129,3864.907,3867.303,3833.46,11092494600,0
2023-06-14,3872.716,3864.025,3891.666,3862.061,12495575900,0
2023-06-15,3871.775,3925.499,3925.499,3871.775,12836993800,0
2023-06-16,3932.211,3963.351,3968.013,3928.542,13976007600,0
2023-06-19,3957.033,3930.908,3957.033,3922.474,13490584800,0
2023-06-20,3926.094,3924.238,3937.495,3918.473,12252031800,0
2023-06-21,3909.104,3864.032,3920.128,3864.032,11834657500,0
2023-06-26,3833.444,3809.696,3841.286,3801.054,13399041900,0
2023-06-27,3811.687,3845.433,3851.896,3806.324,11699268100,0
2023-06-28,3836.609,3840.799,3846.852,3808.161,10702154100,0
2023-06-29,3836.731,3821.844,3840.713,3817.376,9828927400,0
2023-06-30,3816.335,3842.452,3860.031,3813.552,10126842900,0
2023-07-03,3853.292,3892.882,3897.327,3853.292,13315805100,0
2023-07-04,3888.033,3899.013,3899.976,3878.398,10949452700,0
2023-07-05,3895.195,3868.805,3899.519,3864.13,9763638400,0
2023-07-06,3857.03,3842.755,3876.89,3836.457,10012184200,0
2023-07-07,3831.596,3825.699,3844.844,3819.077,10090692000,0
2023-07-10,3841.559,3844.327,3865.457,3831.92,9203344100,0
2023-07-11,3853.796,3869.486,3870.655,3844.524,8651071600,0
2023-07-12,3864.601,3843.437,3874.04,3838.563,11152202400,0
2023-07-13,3855.662,3898.423,3901.102,3855.662,12030023200,0
2023-07-14,3904.603,3899.103,3908.487,3893.786,12236484600,0
